Consonantal Root: س ف ر

Occurrences
((74:34:3) asfara)


((34:19:5) asfārinā)
((62:5:11) asfāran)


((2:184:9) safarin)
((2:185:23) safarin)
((2:283:4) safarin)
((4:43:25) safarin)
((5:6:27) safarin)
((9:42:5) wasafaran)
((18:62:10) safarinā)


((80:15:2) safaratin)


((80:38:3) mus'firatun)
